sub1,sub2,pericenter,p_info,apocenter,a_info
5343,109426,0.08983547258010212,"[0.0585073227945129, 0.8107349565966118, 94]",3.845395826223339,"[1.035510445664141, 8.088392215223584, 49]"
8689,8691,0.056424276699728604,"[0.0485236299818059, 0.6771998119210367, 95]",1.8763603947368668,"[1.035510445664141, 8.088392215223584, 49]"
8689,135909,0.10094473440009606,"[0.0838844307974793, 1.141683249431023, 92]",3.3071477121139568,"[1.035510445664141, 8.088392215223584, 49]"
8691,135909,0.18906930404821948,"[0.0736613846564386, 1.0098048567419589, 93]",2.9637781753905252,"[0.5030475232448832, 5.22345559588246, 67]"
15123,130982,0.15052874852595555,"[2.220446049250313e-16, 3.2095899059701634e-15, 99]",3.4685627143385735,"[0.6446418406845371, 6.169572415033001, 61]"
21609,65607,0.03959905609326847,"[0.0838844307974793, 1.141683249431023, 92]",2.499202249250886,"[1.035510445664141, 8.088392215223584, 49]"
36449,196078,0.12304099817903384,"[2.220446049250313e-16, 3.2095899059701634e-15, 99]",3.487204300034182,"[0.8167099790118506, 7.120830471464816, 55]"
39272,150598,0.007154357448945572,"[0.0239744283827625, 0.34055098231832176, 97]",2.845653025530458,"[1.035510445664141, 8.088392215223584, 49]"
40932,132016,0.7995745569777906,"[0.0994018026302219, 1.3382264607530783, 91]",3.7716686282757297,"[1.035510445664141, 8.088392215223584, 49]"
42394,137471,0.19020957130883706,"[0.1972841823760098, 2.4838249103758403, 84]",3.263644720112259,"[1.035510445664141, 8.088392215223584, 49]"
45886,106510,0.943376499626095,"[2.220446049250313e-16, 3.2095899059701634e-15, 99]",3.4853526248249294,"[0.3606876572618167, 4.0846185503277646, 74]"
50472,158704,0.17043115308449283,"[0.0337243718735154, 0.47568673997729827, 96]",2.8657947206034247,"[1.035510445664141, 8.088392215223584, 49]"
55272,150293,0.2582479027078698,"[0.0485236299818059, 0.6771998119210367, 95]",2.8364779609768997,"[0.9230008161779087, 7.620290970031221, 52]"
55844,84686,0.016072405205163755,"[0.0239744283827625, 0.34055098231832176, 97]",3.5138659257485156,"[1.035510445664141, 8.088392215223584, 49]"
56850,164357,0.13768374753849927,"[0.0337243718735154, 0.47568673997729827, 96]",4.276808829969306,"[0.9230008161779087, 7.620290970031221, 52]"
70698,114194,0.8711036756133773,"[2.220446049250313e-16, 3.2095899059701634e-15, 99]",3.5389160885565025,"[0.5030475232448832, 5.22345559588246, 67]"
73509,111000,1.0726141502663626,"[2.220446049250313e-16, 3.2095899059701634e-15, 99]",5.096229320696118,"[0.5985432881875667, 5.879560998381898, 63]"
73509,122083,0.28341938146134055,"[0.0585073227945129, 0.8107349565966118, 94]",3.044711076330544,"[0.5985432881875667, 5.879560998381898, 63]"
126191,166103,0.029999788197475948,"[0.0337243718735154, 0.47568673997729827, 96]",2.483053854962038,"[0.9505313515850328, 7.740226245700024, 51]"
133399,156409,0.16818117102179567,"[0.0485236299818059, 0.6771998119210367, 95]",3.469965674550246,"[1.035510445664141, 8.088392215223584, 49]"
133399,178223,0.48716164081417973,"[0.2259883862601976, 2.791298438174829, 82]",3.5242531018908108,"[1.035510445664141, 8.088392215223584, 49]"
160825,161284,0.1695148551966003,"[0.0485236299818059, 0.6771998119210367, 95]",2.757568834370682,"[0.3100741201278338, 3.6258376702429413, 77]"
